"STUDY_ID","EVENT_ID","STAT_ID","STAT_ARRIV","DEPTH","PAR_SURFACE","PAR_DEPTH","CONDTVY","SAL","SIGMA_T","TEMP","TRANS","DISS_OXYGEN","O2_PCT_SAT","CHLA_FLU_CALIB","CHLA_FLU_RAW","PH"
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1,,288.72,,,,,,,,,,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.5,,231.58,,,,,,,,,,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,2,,167.16,27.719,29.761,23.665,3.4936,1.5933,10.757,99.05,0.356,0.69076,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,2.5,,125.46,27.72,29.761,23.666,3.494,1.5964,10.756,99.04,0.3657,0.75087,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,3,,97.024,27.727,29.765,23.669,3.4982,1.6004,10.755,99.03,0.2889,0.76231,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,3.5,,70.535,27.736,29.771,23.673,3.503,1.6042,10.754,99.02,0.3462,0.84538,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,4,,58.143,27.769,29.791,23.687,3.5235,1.6057,10.749,99.07,0.3454,0.84494,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,4.5,,43.229,27.793,29.805,23.697,3.5386,1.5962,10.746,99.13,0.4055,0.87994,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,5,,33.907,27.802,29.811,23.701,3.5445,1.5864,10.747,99.14,0.4564,0.90917,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,5.5,,28.246,27.808,29.815,23.704,3.547,1.59,10.749,99.16,0.4635,0.91319,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,6,,22.653,27.814,29.82,23.708,3.5494,1.591,10.744,99.11,0.4254,0.89132,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,6.5,,18.826,27.822,29.826,23.712,3.5529,1.583,10.749,99.16,0.4421,0.90094,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,7,,14.317,27.823,29.826,23.712,3.5534,1.5837,10.746,99.13,0.3904,0.87119,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,7.5,,11.487,27.821,29.824,23.711,3.5528,1.589,10.749,99.16,0.418,0.88712,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,8,,9.5688,27.826,29.828,23.714,3.5547,1.583,10.75,99.17,0.4562,0.90904,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,8.5,,7.9728,27.824,29.826,23.712,3.554,1.5977,10.75,99.17,0.4481,0.90444,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,9,,6.2623,27.826,29.827,23.713,3.5551,1.5727,10.748,99.15,0.4344,0.89657,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,9.5,,5.0271,27.828,29.829,23.714,3.5554,1.5705,10.749,99.16,0.4327,0.89552,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,10,,4.0788,27.833,29.833,23.717,3.558,1.5765,10.747,99.14,0.4041,0.87907,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,10.5,,3.1911,27.866,29.858,23.736,3.5719,1.5573,10.741,99.18,0.4299,0.89394,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,11,,2.5915,27.868,29.859,23.737,3.5728,1.535,10.741,99.18,0.4045,0.87932,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,11.5,,2.1447,27.861,29.854,23.733,3.5691,1.5378,10.743,99.2,0.424,0.89057,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,12,,1.726,27.86,29.854,23.733,3.5688,1.5284,10.745,99.22,0.4318,0.89507,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,12.5,,1.3597,27.861,29.854,23.733,3.569,1.521,10.747,99.23,0.4254,0.89132,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13,,1.0798,27.881,29.869,23.745,3.5778,1.5113,10.742,99.19,0.4146,0.88519,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.5,,0.88469,27.881,29.871,23.746,3.5771,1.5124,10.743,99.2,0.3941,0.87332,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,14,,0.72641,27.878,29.866,23.742,3.5771,1.5258,10.744,99.21,0.4131,0.88432,
