"STUDY_ID","EVENT_ID","STAT_ID","STAT_ARRIV","DEPTH","ORDERED_DEPTH_CODE","NH4","NO2","NO3","NO3_NO2","TDN","TN","PON","PO4","TDP","PARTP","TPHOS","SIO4","POC","CHLA","PHAE"
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A",1.85,0.146,9.654,,20.1,,1.94,0.976,1.4,0.158,,12,15.7,0.677,0.369
"BWQM","WN241","F23",08-FEB-2024 08:04:11,8.11,"B",1.88,0.144,9.786,,19.3,,1.94,0.979,0.858,0.159,,12,14.6,,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C",1.71,0.142,9.693,,20.5,,2.12,0.952,1.155,0.1445,,11.8,18.15,0.612,0.443
"BWQM","WN241","F23",08-FEB-2024 08:04:11,21.49,"D",1.76,0.135,9.425,,19.2,,2.69,1,1.21,0.203,,11.6,23.5,,
"BWQM","WN241","F23",08-FEB-2024 08:04:11,27.23,"E",1.65,0.121,9.479,,20.1,,2.22,0.933,1.06,0.25,,11.5,19,0.667,0.565
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A",1.02,0.0999,8.6401,,16.3,,1.83,1.04,0.839,0.117,,12.3,14.2,0.807,0.368
"BWQM","WN241","N01",08-FEB-2024 08:49:54,7.87,"B",1.01,0.0981,8.7119,,16.3,,1.97,0.968,0.841,0.0984,,12.1,15,0.573,0.881
"BWQM","WN241","N01",08-FEB-2024 08:49:54,14.83,"C",0.643,0.0927,8.3573,,16,,1.665,0.936,0.836,0.08995,,11.2,11.75,0.543,0.652
"BWQM","WN241","N01",08-FEB-2024 08:49:54,22.65,"D",1.04,0.102,8.598,,16.3,,1.4,0.945,0.86,0.0901,,9.92,11,,
"BWQM","WN241","N01",08-FEB-2024 08:49:54,30.41,"E",0.976,0.106,8.094,,17.9,,1.49,0.881,0.811,0.1,,9.5,11.6,,
"BWQM","WN241","N04",08-FEB-2024 09:30:33,1.82,"A",2.68,0.128,7.802,,17,,1.81,0.957,1.04,0.0845,,8.22,13.3,0.816,1.12
"BWQM","WN241","N04",08-FEB-2024 09:30:33,12.57,"B",0.612,0.1,7.69,,14.8,,1.72,0.871,0.645,0.088,,7.76,11.4,,
"BWQM","WN241","N04",08-FEB-2024 09:30:33,24.18,"C",0.6905,0.0954,7.5896,,14.95,,1.49,0.849,0.6425,0.12115,,7.6,9.955,1.18,0.7855
"BWQM","WN241","N04",08-FEB-2024 09:30:33,35.48,"D",0.786,0.106,7.604,,20.6,,1.63,0.916,0.697,0.038,,7.33,13,,
"BWQM","WN241","N04",08-FEB-2024 09:30:33,48.3,"E",0.818,0.121,7.669,,15.6,,1.09,0.916,0.7,0.0595,,7.2,8.01,0.527,0.197
"BWQM","WN241","F22",08-FEB-2024 10:09:35,1.89,"A",0.692,0.0752,8.1348,,15.6,,1.29,0.997,0.82,0.0622,,9.69,10.3,0.507,0.182
"BWQM","WN241","F22",08-FEB-2024 10:09:35,17.76,"B",0.496,0.0633,8.6667,,15.8,,1.08,0.966,0.856,0.0568,,9.46,6.79,,
