"STUDY_ID","EVENT_ID","STAT_ID","STAT_ARRIV","DEPTH","ORDERED_DEPTH_CODE","SPEC_CODE","LOWEST_TAXON","GROUP_ID","DESCR","CELLS_PER_L","UG_CARBON_PER_L"
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","0702020101CX","SPECIES","CENTRIC DIATOM","Skeletonema costatum species complex",3125,0.05975
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","07020205PUNC","SPECIES","CENTRIC DIATOM","Thalassiosira punctigera",312.5,0.25
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",3906.3,0.20707
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",31250,0.25969
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",468.75,0.019556
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","0703100402","SPECIES","PENNATE DIATOM","Cylindrotheca closterium",781.25,0.11949
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","0703SG01","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 1 <10 microns length",3125,0.020094
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","0703SG02","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 2 10-30 microns length",312.5,0.010247
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","12041001ROTU","SPECIES","DINOFLAGELLATES","Heterocapsa rotundata",6250,0.132
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","1204140106","SPECIES","DINOFLAGELLATES","Tripos macroceros",625,1.837
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","1204140108","SPECIES","DINOFLAGELLATES","Tripos muelleri",781.25,5.9229
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",34375,0.22241
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","3513ALOR","CLASS","CILIOPHORA_HETERO","Ciliatea (aloricate)",1875,1.875
"BWQM","WN241","F23",08-FEB-2024 08:04:11,1.76,"A","AAAAAAAA81","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 1 length <10 microns",446880,9.2995
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","04070101SPEC","SPECIES","CHRYSOPHYTES","Dictyocha speculum",310.56,0.074596
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","0603020101","SPECIES","HAPTOPHYTES","Phaeocystis pouchetii",6211.2,0.19317
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","0702020101CX","SPECIES","CENTRIC DIATOM","Skeletonema costatum species complex",3260.9,0.062348
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","07020205SG03","SUBGENUS","CENTRIC DIATOM","Thalassiosira sp. group 3 10-20 microns length",4037.3,0.21402
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","0702SG01","SUBORDER","CENTRIC DIATOM","Centric diatom sp. group 1 diam <10 microns",21739,0.18065
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","0703010601","SPECIES","PENNATE DIATOM","Thalassionema nitzschioides",155.28,0.0064783
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","0703100402","SPECIES","PENNATE DIATOM","Cylindrotheca closterium",1087,0.16625
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","0703SG02","SUBORDER","PENNATE DIATOM","Pennate diatom sp. group 2 10-30 microns length",621.12,0.020366
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","1202010401","SPECIES","DINOFLAGELLATES","Prorocentrum micans",155.28,0.095997
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","12040103SG02","SUBGENUS","DINOFLAGELLATES","Gymnodinium sp. group 2 21-40 microns width, 21-50 microns length",155.28,0.30767
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","12041001ROTU","SPECIES","DINOFLAGELLATES","Heterocapsa rotundata",155.28,0.0032795
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","1204140103","SPECIES","DINOFLAGELLATES","Tripos fusus",310.56,0.91883
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","1204140105","SPECIES","DINOFLAGELLATES","Tripos longipes",155.28,1.5271
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","1204140108","SPECIES","DINOFLAGELLATES","Tripos muelleri",5434.8,41.203
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","14020303SG01","SUBGENUS","CRYPTOPHYTES","Cryptomonas sp. group 1 length <10 microns",46584,0.3014
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","3513ALOR","CLASS","CILIOPHORA_HETERO","Ciliatea (aloricate)",2173.9,2.1739
"BWQM","WN241","F23",08-FEB-2024 08:04:11,13.73,"C","AAAAAAAA81","PHYLUM","MICROFLAGELLATES","Unid. micro-phytoflag sp. group 1 length <10 microns",509320,10.599
"BWQM","WN241","N01",08-FEB-2024 08:49:54,2.01,"A","0702020101CX","SPECIES","CENTRIC DIATOM","Skeletonema costatum species complex",1274,0.02436
