"STUDY_ID","EVENT_ID","STAT_ID","STAT_ARRIV","DEPTH","ORDERED_DEPTH_CODE","METH_CODE","SPEC_CODE","LOWEST_TAXON","GROUP_ID","DESCR","SPEC_QUAL","IND_PER_M3"
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6117SPP","SUBCLASS","COPEPOD","Copepod","N",734.43
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6118010208","SPECIES","COPEPOD","Calanus finmarchicus","C",17.486
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","C",78.689
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","F",61.202
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","M",8.7432
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6118170105","SPECIES","COPEPOD","Centropages hamatus","M",148.63
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6118170105","SPECIES","COPEPOD","Centropages hamatus","F",131.15
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6118170106","SPECIES","COPEPOD","Centropages typicus","F",8.7432
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","61181701SPP","GENUS","COPEPOD","Centropages spp.","C",340.98
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6118200203","SPECIES","COPEPOD","Eurytemora herdmani","F",8.7432
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6118290113","SPECIES","COPEPOD","Acartia hudsonica","M",26.23
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6118290113","SPECIES","COPEPOD","Acartia hudsonica","F",26.23
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","61182901SPP","GENUS","COPEPOD","Acartia spp.","C",113.66
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6118300101","SPECIES","COPEPOD","Tortanus discaudatus","F",8.7432
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6119090101","SPECIES","COPEPOD","Microsetella norvegica","U",8.7432
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","C",34.973
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","F",26.23
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","M",8.7432
"BWQM","WN241","F23",08-FEB-2024 08:04:11,25,"Z","COU_ZO","6130SPP","INFRACLASS","BARNACLE","Cirripedia","N",585.79
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","5001SPP","CLASS","OTHER (ZOO)","Polychaete","L",8.2368
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6117SPP","SUBCLASS","COPEPOD","Copepod","N",2701.7
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6118010208","SPECIES","COPEPOD","Calanus finmarchicus","M",8.2368
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6118010208","SPECIES","COPEPOD","Calanus finmarchicus","F",8.2368
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6118040101","SPECIES","COPEPOD","Paracalanus parvus","C",24.71
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6118040101","SPECIES","COPEPOD","Paracalanus parvus","F",16.474
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","C",41.184
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","F",24.71
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6118160207","SPECIES","COPEPOD","Metridia lucens","F",16.474
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6118170105","SPECIES","COPEPOD","Centropages hamatus","F",16.474
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6118170105","SPECIES","COPEPOD","Centropages hamatus","M",24.71
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6118170106","SPECIES","COPEPOD","Centropages typicus","F",123.55
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6118170106","SPECIES","COPEPOD","Centropages typicus","M",57.658
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","61181701SPP","GENUS","COPEPOD","Centropages spp.","C",271.81
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6119090101","SPECIES","COPEPOD","Microsetella norvegica","U",24.71
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","M",32.947
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","F",107.08
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","C",123.55
"BWQM","WN241","N01",08-FEB-2024 08:49:54,25,"Z","COU_ZO","6130SPP","INFRACLASS","BARNACLE","Cirripedia","N",955.47
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","51SPP","CLASS","OTHER (ZOO)","Gastropoda","V",20.984
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6117SPP","SUBCLASS","COPEPOD","Copepod","N",6337
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6118010208","SPECIES","COPEPOD","Calanus finmarchicus","F",41.967
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6118040101","SPECIES","COPEPOD","Paracalanus parvus","C",41.967
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","F",104.92
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","C",125.9
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6118170105","SPECIES","COPEPOD","Centropages hamatus","M",41.967
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6118170106","SPECIES","COPEPOD","Centropages typicus","M",167.87
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6118170106","SPECIES","COPEPOD","Centropages typicus","F",209.84
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","61181701SPP","GENUS","COPEPOD","Centropages spp.","C",1405.9
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","M",62.951
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","F",125.9
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","C",1384.9
"BWQM","WN241","N04",08-FEB-2024 09:30:33,25,"Z","COU_ZO","6130SPP","INFRACLASS","BARNACLE","Cirripedia","N",83.934
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","3465SPP","PHYLUM","OTHER (ZOO)","Radiozoa","U",9.4815
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6117SPP","SUBCLASS","COPEPOD","Copepod","N",1526.5
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6118010208","SPECIES","COPEPOD","Calanus finmarchicus","C",9.4815
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6118010208","SPECIES","COPEPOD","Calanus finmarchicus","F",75.852
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6118040101","SPECIES","COPEPOD","Paracalanus parvus","C",9.4815
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6118040101","SPECIES","COPEPOD","Paracalanus parvus","F",9.4815
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","M",28.444
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","C",123.26
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","F",94.815
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6118170106","SPECIES","COPEPOD","Centropages typicus","M",94.815
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6118170106","SPECIES","COPEPOD","Centropages typicus","F",47.407
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","61181701SPP","GENUS","COPEPOD","Centropages spp.","C",540.44
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6118300101","SPECIES","COPEPOD","Tortanus discaudatus","M",9.4815
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6119090101","SPECIES","COPEPOD","Microsetella norvegica","U",9.4815
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","F",94.815
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6120090103","SPECIES","COPEPOD","Oithona similis","C",237.04
"BWQM","WN241","F22",08-FEB-2024 10:09:35,25,"Z","COU_ZO","6130SPP","INFRACLASS","BARNACLE","Cirripedia","N",47.407
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,19,"Z","PCC_ZO","6118010208","SPECIES","COPEPOD","Calanus finmarchicus","F",10.06
"PCCS","WN241_PCCS","F02",08-FEB-2024 10:20:00,19,"Z","PCC_ZO","61180505SPP","GENUS","COPEPOD","Pseudocalanus spp.","U",201.21
